year,period,Industry,Buildings,Transport,Power
2040,5057,0,0,0,3908.067645
2040,5058,0,0,0,4062.633537
2040,5059,0,0,0,4235.499579
2040,5060,0,0,0,4389.502388
2040,5061,0,0,0,4341.921995
2040,5062,0,0,0,4324.466467
2040,5063,0,0,0,4290.400032
2040,5064,0,0,0,4163.706679
2040,5065,0,0,0,3864.991905
2040,5066,0,0,0,3550.792388
2040,5067,0,0,0,3283.047102
2040,5068,0,0,0,2998.127826
2040,5069,0,0,0,2894.239277
2040,5070,0,0,0,2889.171542
2040,5071,0,0,0,3009.952539
2040,5072,0,0,0,3145.373657
2040,5073,0,0,0,3264.74695
2040,5074,0,0,0,3349.772268
2040,5075,0,0,0,3547.97698
2040,5076,0,0,0,3959.308069
2040,5077,0,0,0,3958.181905
2040,5078,0,0,0,3884.981301
2040,5079,0,0,0,3838.808612
2040,5080,0,0,0,3941.85254
2040,5081,0,0,0,4031.382509
2040,5082,0,0,0,4176.657555
2040,5083,0,0,0,4359.377524
2040,5084,0,0,0,4424.694986
2040,5085,0,0,0,4441.868974
2040,5086,0,0,0,4470.867675
2040,5087,0,0,0,4417.938008
2040,5088,0,0,0,4254.362812
2040,5089,0,0,0,3873.156587
2040,5090,0,0,0,3537.841512
2040,5091,0,0,0,3345.830696
2040,5092,0,0,0,3135.80127
2040,5093,0,0,0,2958.149035
2040,5094,0,0,0,3036.417373
2040,5095,0,0,0,3168.460002
2040,5096,0,0,0,3330.627493
2040,5097,0,0,0,3372.858612
2040,5098,0,0,0,3362.160062
2040,5099,0,0,0,3538.686135
2040,5100,0,0,0,3936.503265
2040,5101,0,0,0,3953.395712
2040,5102,0,0,0,3881.602811
2040,5103,0,0,0,3770.675742
2040,5104,0,0,0,3829.517766
2040,5105,0,0,0,3906.659941
2040,5106,0,0,0,4066.293566
2040,5107,0,0,0,4254.081271
2040,5108,0,0,0,4241.975018
2040,5109,0,0,0,4243.382722
2040,5110,0,0,0,4289.273869
2040,5111,0,0,0,4288.710788
2040,5112,0,0,0,4172.997525
2040,5113,0,0,0,3890.612116
2040,5114,0,0,0,3591.897344
2040,5115,0,0,0,3288.114835
2040,5116,0,0,0,3080.337736
2040,5117,0,0,0,2957.022872
2040,5118,0,0,0,2943.227372
2040,5119,0,0,0,3092.162448
2040,5120,0,0,0,3275.163959
2040,5121,0,0,0,3341.326044
2040,5122,0,0,0,3492.794986
2040,5123,0,0,0,3784.1897
2040,5124,0,0,0,4120.067857
2040,5125,0,0,0,3948.89106
2040,5126,0,0,0,3966.065047
2040,5127,0,0,0,3980.705167
2040,5128,0,0,0,4075.302872
2040,5129,0,0,0,4178.62834
2040,5130,0,0,0,4370.639156
2040,5131,0,0,0,4594.18254
2040,5132,0,0,0,4627.122812
2040,5133,0,0,0,4598.124111
2040,5134,0,0,0,4503.526407
2040,5135,0,0,0,4460.450667
2040,5136,0,0,0,4351.494383
2040,5137,0,0,0,4153.571211
2040,5138,0,0,0,3800.519065
2040,5139,0,0,0,3526.016799
2040,5140,0,0,0,3218.29272
2040,5141,0,0,0,2971.662992
2040,5142,0,0,0,2964.624472
2040,5143,0,0,0,3096.38556
2040,5144,0,0,0,3271.222389
2040,5145,0,0,0,3417.905138
2040,5146,0,0,0,3460.699337
2040,5147,0,0,0,3648.2055
2040,5148,0,0,0,4050.245742
2040,5149,0,0,0,4062.915077
2040,5150,0,0,0,4005.480758
2040,5151,0,0,0,3985.209821
2040,5152,0,0,0,4048.274956
2040,5153,0,0,0,4131.611029
2040,5154,0,0,0,4330.378823
2040,5155,0,0,0,4489.449368
2040,5156,0,0,0,4501.837163
2040,5157,0,0,0,4411.181029
2040,5158,0,0,0,4320.243355
2040,5159,0,0,0,4290.681573
2040,5160,0,0,0,4131.89257
2040,5161,0,0,0,3837.682449
2040,5162,0,0,0,3586.266528
2040,5163,0,0,0,3410.585078
2040,5164,0,0,0,3180.284715
2040,5165,0,0,0,2979.827675
2040,5166,0,0,0,2962.090605
2040,5167,0,0,0,3013.049488
2040,5168,0,0,0,3199.711028
2040,5169,0,0,0,3272.06701
2040,5170,0,0,0,3362.723144
2040,5171,0,0,0,3635.817706
2040,5172,0,0,0,3922.426225
2040,5173,0,0,0,3980.986709
2040,5174,0,0,0,3895.116769
2040,5175,0,0,0,3850.351785
2040,5176,0,0,0,3990.277555
2040,5177,0,0,0,4014.771603
2040,5178,0,0,0,4367.823748
2040,5179,0,0,0,4493.109398
2040,5180,0,0,0,4543.505198
2040,5181,0,0,0,4513.380335
2040,5182,0,0,0,4494.517102
2040,5183,0,0,0,4449.752117
2040,5184,0,0,0,4365.571422
2040,5185,0,0,0,3980.705167
2040,5186,0,0,0,3625.119155
2040,5187,0,0,0,3351.179972
2040,5188,0,0,0,3147.062902
2040,5189,0,0,0,2990.807765
2040,5190,0,0,0,2980.953838
2040,5191,0,0,0,3230.398974
2040,5192,0,0,0,3431.137555
2040,5193,0,0,0,3558.393989
2040,5194,0,0,0,3565.714049
2040,5195,0,0,0,3791.50976
2040,5196,0,0,0,4102.893869
2040,5197,0,0,0,4099.233839
2040,5198,0,0,0,3996.752993
2040,5199,0,0,0,4017.02393
2040,5200,0,0,0,4110.777011
2040,5201,0,0,0,4038.702569
2040,5202,0,0,0,4323.903386
2040,5203,0,0,0,4543.78674
2040,5204,0,0,0,4587.14402
2040,5205,0,0,0,4567.717706
2040,5206,0,0,0,4583.765531
2040,5207,0,0,0,4549.417554
2040,5208,0,0,0,4482.692388
2040,5209,0,0,0,4122.320183
2040,5210,0,0,0,3818.819216
2040,5211,0,0,0,3531.084534
2040,5212,0,0,0,3263.057706
2040,5213,0,0,0,3064.852992
2040,5214,0,0,0,3051.620575
2040,5215,0,0,0,3157.479911
2040,5216,0,0,0,3265.591573
2040,5217,0,0,0,3411.992782
2040,5218,0,0,0,3432.545259
2040,5219,0,0,0,3733.512358
2040,5220,0,0,0,4170.182117
2040,5221,0,0,0,4262.527495
2040,5222,0,0,0,4054.750395
2040,5223,0,0,0,3981.54979
2040,5224,0,0,0,4015.897767
2040,5225,0,0,0,4149.62964
2040,5226,0,0,0,4386.123899
2040,5227,0,0,0,4533.932812
2040,5228,0,0,0,4670.198552
2040,5229,0,0,0,4714.400455
2040,5230,0,0,0,4718.342027
2040,5231,0,0,0,4749.311513
2040,5232,0,0,0,4655.839972
2040,5233,0,0,0,4266.750607
2040,5234,0,0,0,3809.528371
2040,5235,0,0,0,3509.687434
2040,5236,0,0,0,3256.863809
2040,5237,0,0,0,3061.756044
2040,5238,0,0,0,3039.795862
2040,5239,0,0,0,3158.324534
2040,5240,0,0,0,3278.82399
2040,5241,0,0,0,3380.741754
2040,5242,0,0,0,3390.877222
2040,5243,0,0,0,3613.294442
2040,5244,0,0,0,3988.30677
2040,5245,0,0,0,3958.744986
2040,5246,0,0,0,3939.037132
2040,5247,0,0,0,3939.037132
2040,5248,0,0,0,4039.547192
2040,5249,0,0,0,4099.796921
2040,5250,0,0,0,4280.546105
2040,5251,0,0,0,4525.205048
2040,5252,0,0,0,4531.398945
2040,5253,0,0,0,4586.862479
2040,5254,0,0,0,4527.457373
2040,5255,0,0,0,4446.936709
2040,5256,0,0,0,4267.876769
2040,5257,0,0,0,3853.167193
2040,5258,0,0,0,3563.461724
2040,5259,0,0,0,3381.023294
2040,5260,0,0,0,3154.382962
2040,5261,0,0,0,2970.536829
2040,5262,0,0,0,2967.15834
2040,5263,0,0,0,2985.740032
2040,5264,0,0,0,3212.380364
2040,5265,0,0,0,3322.462811
2040,5266,0,0,0,3367.509337
2040,5267,0,0,0,3515.59979
2040,5268,0,0,0,3887.796708
2040,5269,0,0,0,4061.225833
2040,5270,0,0,0,3790.102056
2040,5271,0,0,0,3741.677041
2040,5272,0,0,0,3805.023717
2040,5273,0,0,0,3904.126075
2040,5274,0,0,0,4106.835439
2040,5275,0,0,0,4323.058763
2040,5276,0,0,0,4353.746709
2040,5277,0,0,0,4247.605832
2040,5278,0,0,0,4292.089277
2040,5279,0,0,0,4278.012237
2040,5280,0,0,0,4143.998824
2040,5281,0,0,0,3830.643929
2040,5282,0,0,0,3532.210696
2040,5283,0,0,0,3221.389669
2040,5284,0,0,0,2947.168944
2040,5285,0,0,0,2830.611059
2040,5286,0,0,0,2866.366738
2040,5287,0,0,0,2961.527524
2040,5288,0,0,0,3177.750847
2040,5289,0,0,0,3362.160062
2040,5290,0,0,0,3352.869216
2040,5291,0,0,0,3486.038008
2040,5292,0,0,0,3914.824624
2040,5293,0,0,0,4034.197917
2040,5294,0,0,0,3896.242932
2040,5295,0,0,0,3841.060938
2040,5296,0,0,0,3977.608219
2040,5297,0,0,0,4070.235138
2040,5298,0,0,0,4334.320395
2040,5299,0,0,0,4582.357827
2040,5300,0,0,0,4563.494594
2040,5301,0,0,0,4554.76683
2040,5302,0,0,0,4542.942117
2040,5303,0,0,0,4522.952721
2040,5304,0,0,0,4368.668371
2040,5305,0,0,0,3960.15269
2040,5306,0,0,0,3579.228008
2040,5307,0,0,0,3332.59828
2040,5308,0,0,0,3111.307222
2040,5309,0,0,0,2990.807765
2040,5310,0,0,0,3024.029578
2040,5311,0,0,0,3101.171753
2040,5312,0,0,0,3274.319337
2040,5313,0,0,0,3407.76967
2040,5314,0,0,0,3351.743053
2040,5315,0,0,0,3596.683537
2040,5316,0,0,0,3927.212419
2040,5317,0,0,0,4020.120878
2040,5318,0,0,0,3802.208309
2040,5319,0,0,0,3752.375591
2040,5320,0,0,0,3818.819216
2040,5321,0,0,0,3945.51257
2040,5322,0,0,0,4308.700184
2040,5323,0,0,0,4586.299398
2040,5324,0,0,0,4659.781542
2040,5325,0,0,0,4520.137313
2040,5326,0,0,0,4612.764232
2040,5327,0,0,0,4713.555834
2040,5328,0,0,0,4473.964624
2040,5329,0,0,0,4073.332086
2040,5330,0,0,0,3750.686346
2040,5331,0,0,0,3409.458914
2040,5332,0,0,0,3102.579457
2040,5333,0,0,0,2933.091904
2040,5334,0,0,0,2917.044079
2040,5335,0,0,0,3024.874201
2040,5336,0,0,0,3243.631391
2040,5337,0,0,0,3348.646104
2040,5338,0,0,0,3356.810786
2040,5339,0,0,0,3585.703445
2040,5340,0,0,0,3968.598914
2040,5341,0,0,0,4088.253749
2040,5342,0,0,0,3901.029126
2040,5343,0,0,0,3890.893658
2040,5344,0,0,0,3983.239035
2040,5345,0,0,0,4141.464956
2040,5346,0,0,0,4423.287284
2040,5347,0,0,0,4600.657978
2040,5348,0,0,0,4571.659277
2040,5349,0,0,0,4598.405651
2040,5350,0,0,0,4643.452177
2040,5351,0,0,0,4606.851875
2040,5352,0,0,0,4432.296588
2040,5353,0,0,0,4029.974805
2040,5354,0,0,0,3684.524261
2040,5355,0,0,0,3435.079125
2040,5356,0,0,0,3207.594171
2040,5357,0,0,0,3038.388158
2040,5358,0,0,0,3026.000363
2040,5359,0,0,0,3141.995167
2040,5360,0,0,0,3280.231694
2040,5361,0,0,0,3422.40979
2040,5362,0,0,0,3350.616889
2040,5363,0,0,0,3468.58248
2040,5364,0,0,0,3850.914866
2040,5365,0,0,0,3980.423627
2040,5366,0,0,0,3757.443325
2040,5367,0,0,0,3710.426014
2040,5368,0,0,0,3729.007706
2040,5369,0,0,0,3919.329277
2040,5370,0,0,0,4192.423838
2040,5371,0,0,0,4365.571422
